"port_no","acc_no","port_value","cash_transaction","return_value"
"RB01","ODI0014684",7787.5,0,-212.5
"RB01","ODI0013820",53070.06,0,-1929.94
"RB01","ODI0001556",0,0,-13.72
"RB01","ODI0001134",2279.25,2279.25,-1899.56
"RB01","ODI0004307",0,0,-8.93
"RB01","ODI0004697",1506.32,0,-93.76
"RB01","ODI0001710",0,0,-176.4
"RB01","ODI0011027",204713.2,0,-10286.8
"RB01","ODI0012579",7807.98,0,-192.02
"RB01","ODI0009300",6724.61,0,-275.39
"RB01","ODI0010836",0,0,1.46
"RB01","ODI0014589",999.99,0,-0.01
"RB01","ODI0013928",0,0,-583.23
"RB01","ODI0006245",15580.02,0,-462.02
"RB01","ODI0000996",9616.49,0,-251.83
"RB01","ODI0005262",969.47,0,-30.53
"LT01","ODI0007909",964.3,0,-35.7
"RB01","ODI0000253",23767.73,0,-1232.27
"RB01","ODI0002501",1001.59,0,3.19
"RB01","ODI0001168",0,0,-201.94
"RB01","ODI0015765",1000.53,0,1.64
"RB01","ODI0001032",121914,0,-8086
"RB01","ODI0003005",0,0,-16.97
"RB01","ODI0000830",19707.11,0,-292.89
"RB01","ODI0005908",4785.66,0,-214.34
"RB01","ODI0013559",9234.01,0,-140.99
"LT01","ODI0011512",1938.83,0,-61.17
"RB01","ODI0012601",0,0,-31.82
"RB01","ODI0011767",7759.95,0,-240.05
"LT01","ODI0000247",4814.72,0,-185.28
"RB01","ODI0000083",33.16,0,135.24
"RB01","ODI0001555",0,0,42.25
"RB01","ODI0002794",23977.97,0,-1022.03
"RB01","ODI0000765",9617.23,0,-382.77
"RB01","ODI0002516",23.67,0,-13.96
"RB01","ODI0007749",0,0,-0.61
"RB01","ODI0000623",15744.42,0,-755.58
"RB01","ODI0009797",13289.02,0,-710.98
"RB01","ODI0006976",0,0,-39.59
"RB01","ODI0007526",4948.87,0,-51.13
"RB01","ODI0014675",1919.13,0,-80.87
"RB01","ODI0008977",10550.2,0,-449.8
"RB01","ODI0011998",0,0,-548.14
"RB01","ODI0001473",190736.51,0,-9263.49
"LT01","ODI0018296",1008.21,0,8.21
"RB01","ODI0001359",8489.12,0,-455.65
"RB01","ODI0009696",109678.02,0,-5321.98
"RB01","ODI0014311",23565.5,0,-434.5
"LT01","ODI0013250",9617.32,0,-382.68
"RB01","ODI0006818",9725.99,0,-274.01
"RB01","ODI0006442",82326.85,0,-4673.15
"RB01","ODI0000994",51988.84,0,-3011.16
"RB01","ODI0002563",6504.86,0,-495.14
"RB01","ODI0017375",1000.31,1000.31,0.31
"RB01","ODI0012653",16900.47,0,-599.53
"RB01","ODI0009596",6612.8,0,-387.2
"RB01","ODI0005177",0,0,8.4
"RB01","ODI0005478",3934.07,0,-65.93
"RB01","ODI0012368",37988.21,0,-1011.79
"RB01","ODI0013776",9677.91,0,-322.09
"RB01","ODI0001586",0,0,-96.36
"RB01","ODI0019655",5990.52,0,-9.48
"RB01","ODI0010758",0,0,-300.62
"RB01","ODI0013828",9702.67,0,-297.33
"RB01","ODI0000977",191630.38,0,-8228.56
"RB01","ODI0011320",4890.54,0,-109.46
"LT01","ODI0014070",1914.83,0,-85.17
"RB01","ODI0001349",19653.64,0,-346.36
"RB01","ODI0012612",7724.88,0,-275.12
"RB01","ODI0015206",0,0,-388.04
"RB01","ODI0002037",10349.29,0,-650.71
"RB01","ODI0008798",9793.47,0,-206.53
"LT01","ODI0015098",1906.01,0,-93.99
"RB01","ODI0006264",0,0,-9.11
"LT01","ODI0018116",10069.25,0,69.25
"RB01","ODI0005340",4800.69,0,-199.31
"RB01","ODI0012918",5828.43,0,-171.57
"RB01","ODI0013700",2989.19,0,-10.81
"RB01","ODI0011347",10426.1,0,-573.9
"RB01","ODI0002316",0,0,-109.97
"RB01","ODI0001040",9802.41,0,-197.59
"RB01","ODI0005181",8475.12,0,-524.88
"LT01","ODI0013448",9571.33,0,-428.67
"RB01","ODI0007914",0,0,-18.81
"RB01","ODI0012443",67209.9,0,-2790.1
"RB01","ODI0015559",4956.58,0,-43.42
"RB01","ODI0005474",0,0,0.3
"RB01","ODI0013826",6457.92,0,-42.08
"RB01","ODI0002004",5667.77,0,-332.23
"RB01","ODI0011325",0,0,1.73
"MK01","ODI0000831",3098.86,0,98.86
"RB01","ODI0011276",5864.7,0,-135.3
"RB01","ODI0014939",12679.16,0,-320.84
"RB01","ODI0015362",101800.55,0,-3199.45
"RB01","ODI0014194",10974.57,0,-275.43
"RB01","ODI0014928",5920.12,0,-79.88
"RB01","ODI0015734",9891.33,0,-108.67
"RB01","ODI0005544",9573.86,0,-426.14
"RB01","ODI0015498",5000,0,0
"RB01","ODI0011725",6821.3,0,-178.7
"RB01","ODI0008843",0,0,-168.96
"RB01","ODI0005883",38245.41,0,-1754.59
"RB01","ODI0001154",14286.25,0,-713.75
"RB01","ODI0000684",7093.03,0,-306.97
"RB01","ODI0000799",219.49,0,-727.19
"RB01","ODI0013626",9794.01,0,-205.99
"RB01","ODI0000928",28957.43,0,-1042.57
"RB01","ODI0014173",4935.14,0,-64.86
"RB01","ODI0016686",7122.18,0,-77.82
"LT01","ODI0001906",931.81,0,-68.19
"RB01","ODI0008917",0,0,12.37
"RB01","ODI0011950",0,0,-24.63
"LT01","ODI0002746",2879.92,0,-120.08
"RB01","ODI0006804",18975.99,0,-1024.01
"MK01","ODI0009673",491.63,0,-8.37
"MK01","ODI0011245",503.11,0,3.11
"RB01","ODI0009243",14526.26,0,-473.74
"RB01","ODI0017089",5952.79,0,-47.21
"RB01","ODI0011425",11409.01,0,-590.99
"RB01","ODI0007087",36849.51,0,-650.49
"RB01","ODI0015161",1001.34,0,1.34
"RB01","ODI0001601",60578.05,0,-3743.78
"LT01","ODI0001296",931.81,0,-68.19
"RB01","ODI0003565",0,0,-48.53
"RB01","ODI0015256",1000.55,0,0.55
"RB01","ODI0002461",42853.92,8064.46,-2146.08
"RB01","ODI0004846",18259.14,0,-740.86
"RB01","ODI0006210",1001.34,0,16.78
"RB01","ODI0002787",3908.8,0,-91.2
"RB01","ODI0017306",6946.12,0,-53.88
"RB01","ODI0007022",1939.45,0,-60.55
"RB01","ODI0015746",3484.15,0,-15.85
"RB01","ODI0013548",38928.66,0,-1071.34
"RB01","ODI0014575",1000.37,0,0.37
"RB01","ODI0015458",4961.15,0,-38.85
"RB01","ODI0004717",28517.69,0,-1482.31
"RB01","ODI0017702",5000,0,0
"LT01","ODI0006923",961.5,0,-38.5
"RB01","ODI0008856",5975.85,0,-24.15
"RB01","ODI0016280",9688.02,2803.16,-311.98
"RB01","ODI0005454",19172.52,0,-827.48
"RB01","ODI0002362",0,0,-3.81
"RB01","ODI0014297",1001.82,0,1.82
"RB01","ODI0007763",13504.52,0,-495.48
"RB01","ODI0011527",7738.22,0,-261.78
"RB01","ODI0013807",999.99,0,-0.01
"RB01","ODI0002951",10568,0,-432
"RB01","ODI0017588",1000.55,0,0.55
"RB01","ODI0003749",23863.92,0,-1136.08
"RB01","ODI0015066",1980.49,0,-19.51
"LT01","ODI0016808",975.92,0,-24.08
"LT01","ODI0001499",947.88,0,-52.12
"RB01","ODI0002392",49137.2,0,-2862.8
"RB01","ODI0001200",12375.8,0,-624.2
"RB01","ODI0012514",5830.27,0,-169.73
"RB01","ODI0007546",13702.74,0,-597.26
"RB01","ODI0013981",4891.13,0,-108.87
"RB01","ODI0015460",11669.06,0,-330.94
"RB01","ODI0010863",5901.79,0,-98.21
"RB01","ODI0002830",0,0,2.18
"RB01","ODI0000770",4949.54,0,13.47
"RB01","ODI0003482",13970.43,0,-1029.57
"RB01","ODI0008138",4850.35,0,-149.65
"RB01","ODI0011671",17599.41,0,-1000.59
"RB01","ODI0007621",7806.94,0,-193.06
"RB01","ODI0007538",4225.62,0,-224.81
"RB01","ODI0012249",999.99,0,-0.01
"RB01","ODI0007805",36124.39,0,-1375.61
"RB01","ODI0010883",0,0,-66.2
"RB01","ODI0011478",23673.59,0,-1326.41
"LT01","ODI0014525",1916.53,0,-83.47
"RB01","ODI0006916",0,0,-266.01
"RB01","ODI0005733",0,0,-87.47
"RB01","ODI0004131",13.83,0,-117.31
"RB01","ODI0010797",8489.84,0,-410.16
"LT01","ODI0013535",947.88,0,-52.12
"RB01","ODI0009494",34981.04,0,-1018.96
"RB01","ODI0011196",1949.61,0,-50.39
"RB01","ODI0004200",0,0,-78.75
"RB01","ODI0012062",4431.85,0,-68.15
"LT01","ODI0019057",10097.23,0,117.23
"RB01","ODI0000730",0,0,-306.73
"RB01","ODI0001297",9797.54,0,-202.46
"RB01","ODI0004752",1997.55,0,-2.45
"LT01","ODI0002674",58535.67,0,-1464.33
"RB01","ODI0006864",9720.32,0,-279.68
"RB01","ODI0000270",56471.46,0,-3528.54
"RB01","ODI0004360",16364.04,0,-635.96
"RB01","ODI0008550",1937.82,1937.82,-86.54
"RB01","ODI0015469",5976.8,0,-14.5
"RB01","ODI0007330",37031.06,0,-968.94
"RB01","ODI0011038",19229.65,0,-770.35
"RB01","ODI0010654",4846.34,0,-153.66
"RB01","ODI0013609",4935.14,0,-64.86
"RB01","ODI0001823",12579.52,0,-420.48
"RB01","ODI0005824",12158.79,0,-841.21
"RB01","ODI0003336",9883.57,0,-116.43
"RB01","ODI0003334",0,0,-112.32
"RB01","ODI0003251",2897.87,0,-102.13
"RB01","ODI0005434",8637.55,0,-362.45
"RB01","ODI0002115",9635.26,0,-364.74
"RB01","ODI0002551",9.49,0,-112.89
"RB01","ODI0015016",2001.56,0,1.56
"RB01","ODI0000325",4874.69,0,-125.31
"RB01","ODI0003886",9632.77,0,-367.23
"RB01","ODI0000381",0,0,-55.49
"RB01","ODI0001529",32.83,0,-105.61
"RB01","ODI0016036",4898.1,0,-101.9
"RB01","ODI0004505",9732.21,0,-267.79
"RB01","ODI0007182",1963.09,0,-36.91
"RB01","ODI0008942",7838.27,0,-161.73
"RB01","ODI0010901",4691.72,0,-308.28
"RB01","ODI0016900",4978.87,0,-21.13
"RB01","ODI0002374",2002.5,0,2.5
"RB01","ODI0001587",6696.6,0,-303.4
"RB01","ODI0002667",0,0,-229.98
"LT01","ODI0009146",49590.68,0,-409.32
"RB01","ODI0002371",9839.36,0,-160.64
"RB01","ODI0013342",0,0,0.13
"RB01","ODI0000082",23553.29,0,-1446.71
"RB01","ODI0017408",1000.55,0,0.55
"RB01","ODI0002172",0,0,-239.91
"RB01","ODI0008953",1006.18,0,6.18
"RB01","ODI0009161",132692.25,0,-7307.75
"RB01","ODI0007123",4828.75,0,-171.25
"RB01","ODI0009678",26216.45,0,-1283.55
"LT01","ODI0014211",14391.27,0,-608.73
"RB01","ODI0007823",0,0,-182.41
"RB01","ODI0007527",0,0,-112.94
"RB01","ODI0005468",21901.59,0,-598.41
"RB01","ODI0000630",90519.22,0,-4426.24
"RB01","ODI0007273",15368.34,0,-631.66
"RB01","ODI0016559",6941.47,0,-58.53
"RB01","ODI0009396",54419.95,0,-3580.05
"RB01","ODI0006634",4987.62,0,-12.38
"RB01","ODI0002956",0,0,-90.03
"RB01","ODI0005309",33955.22,0,-1044.78
"RB01","ODI0000337",14415.54,0,-584.46
"RB01","ODI0000990",58665.28,1120,-4125.55
"RB01","ODI0002199",9377.39,0,-629.2
"MK01","ODI0014211",9680.07,0,180.07
"RB01","ODI0000525",19890.19,0,-1109.81
"RB01","ODI0007456",0,0,-140.23
"RB01","ODI0001110",3499.02,0,-495.92
"RB01","ODI0005863",19063.11,0,-936.89
"LT01","ODI0011481",10359.18,0,-640.82
"RB01","ODI0008034",0,0,-2224.06
"RB01","ODI0006114",99714.49,0,-5285.51
"RB01","ODI0004284",23987.98,0,-1012.02
"RB01","ODI0002870",0,0,5.05
"RB01","ODI0008044",25943.05,0,-1056.95
"RB01","ODI0019465",59776.53,0,-223.47
