"port_no","acc_no","cash","cash_date","typing"
"RB01","ODI0000034",-5000,"2018-07-25 00:00:00+00","subscription"
"RB01","ODI0000034",5000,"2018-07-25 03:00:04.209+00","deposit"
"RB01","ODI0000034",-5000,"2018-08-03 00:00:00+00","subscription"
"RB01","ODI0000034",5000,"2018-08-03 03:00:05.685+00","deposit"
"RB01","ODI0000034",-20000,"2018-08-07 00:00:00+00","subscription"
"RB01","ODI0000034",20000,"2018-08-07 03:00:07.857+00","deposit"
"RB01","ODI0000034",-4420,"2018-08-15 00:00:00+00","subscription"
"RB01","ODI0000034",5000,"2018-08-15 03:00:05.808+00","deposit"
"RB01","ODI0000034",-580,"2018-08-16 00:00:00+00","subscription"
"RB01","ODI0000034",41.45,"2018-08-24 00:00:00+00","dividend"
"RB01","ODI0000034",-5041.45,"2018-09-28 00:00:00+00","subscription"
"RB01","ODI0000034",5000,"2018-09-28 03:00:02.768+00","deposit"
"RB01","ODI0000034",115.21,"2018-10-12 00:00:00+00","dividend"
"RB01","ODI0000034",-5000,"2018-10-12 00:00:00+00","subscription"
"RB01","ODI0000034",5000,"2018-10-12 03:00:11.072+00","deposit"
"RB01","ODI0000034",-4209.3,"2018-11-05 00:00:00+00","subscription"
"RB01","ODI0000034",4209.3,"2018-11-05 03:00:08.451+00","deposit"
"RB01","ODI0000034",-4209.3,"2018-11-06 00:00:00+00","withdrawal"
"RB01","ODI0000034",-5670.69,"2018-11-07 00:00:00+00","subscription"
"RB01","ODI0000034",5670.69,"2018-11-07 03:00:02.65+00","deposit"
"RB01","ODI0000034",-5670.69,"2018-11-08 00:00:00+00","withdrawal"
"LT01","ODI0000034",-50000,"2018-12-26 00:00:00+00","subscription"
"LT01","ODI0000034",50000,"2018-12-26 03:00:04.191+00","deposit"
"LT01","ODI0000034",-50000,"2018-12-27 00:00:00+00","subscription"
"RB01","ODI0000034",-5115.21,"2018-12-27 00:00:00+00","subscription"
"LT01","ODI0000034",50000,"2018-12-27 03:00:07.451+00","deposit"
"RB01","ODI0000034",5000,"2018-12-27 03:00:07.451+00","deposit"
"RB01","ODI0000059",250,"2018-05-22 03:45:26.419+00","deposit"
"RB01","ODI0000059",-250,"2018-05-28 00:00:00+00","subscription"
"RB01","ODI0000059",-193.82,"2018-06-05 00:00:00+00","withdrawal"
"RB01","ODI0000059",-24.72,"2018-06-13 00:00:00+00","withdrawal"
"RB01","ODI0000059",-1000,"2018-07-06 00:00:00+00","subscription"
"RB01","ODI0000059",1000,"2018-07-06 03:00:10.625+00","deposit"
"RB01","ODI0000059",-1029.7,"2018-07-19 00:00:00+00","withdrawal"
"RB01","ODI0000059",-0.11,"2018-07-31 00:00:00+00","withdrawal"
"RB01","ODI0000059",-5000,"2018-08-02 00:00:00+00","subscription"
"RB01","ODI0000059",5000,"2018-08-02 03:00:08.658+00","deposit"
"RB01","ODI0000059",-1000,"2018-08-10 00:00:00+00","subscription"
"RB01","ODI0000059",1000,"2018-08-10 03:00:04.289+00","deposit"
"RB01","ODI0000059",-1000,"2018-08-29 00:00:00+00","subscription"
