acc_no,RB_L,RB_F,RB_M,LT_L,LT_F,LT_M,ALL_L,ALL_F,ALL_M
ODI0000034,162,7,50000.0,8,2,100000.0,162,9,150000.0
ODI0000059,205,10,651.1200000000026,0,0,0.0,205,10,651.1200000000026
ODI0000067,203,13,135000.0,56,11,235000.0,203,24,370000.0
ODI0000068,185,5,419545.54,22,2,350000.0,185,7,769545.54
ODI0000072,218,9,12999.96,35,2,27000.0,218,11,39999.96
ODI0000080,220,0,0.0,0,0,0.0,220,0,0.0
ODI0000082,181,2,25000.0,9,2,21000.0,181,4,46000.0
ODI0000083,183,1,-102.07999999999993,0,0,0.0,183,1,-102.07999999999993
ODI0000084,4,0,-0.7899999999999636,0,0,0.0,4,0,-0.7899999999999636
ODI0000086,218,2,2100.0,0,0,0.0,218,2,2100.0
ODI0000089,179,-1,5.079999999999927,0,0,0.0,179,-1,5.079999999999927
ODI0000090,21,0,3.810000000000059,0,0,0.0,21,0,3.810000000000059
ODI0000091,33,0,-0.009999999999990905,0,0,0.0,33,0,-0.009999999999990905
ODI0000092,226,6,3031.9300000000003,62,1,5000.0,226,7,8031.93
ODI0000097,197,6,24000.0,0,0,0.0,197,6,24000.0
ODI0000099,76,0,-0.7400000000000091,0,0,0.0,76,0,-0.7400000000000091
ODI0000103,70,1,7.100000000000023,0,0,0.0,70,1,7.100000000000023
ODI0000104,2,0,-0.1999999999998181,0,0,0.0,2,0,-0.1999999999998181
ODI0000128,145,5,462.23999999999796,0,0,0.0,145,5,462.23999999999796
ODI0000129,123,0,-100.26999999999862,0,0,0.0,123,0,-100.26999999999862
ODI0000130,181,2,2000.0,0,0,0.0,181,2,2000.0
ODI0000134,122,2,10000.0,0,0,0.0,122,2,10000.0
ODI0000135,185,6,33000.0,0,0,0.0,185,6,33000.0
ODI0000140,202,8,13000.0,55,2,2000.0,202,10,15000.0
ODI0000146,202,1,-92.0,0,0,0.0,202,1,-92.0
ODI0000147,196,52,349653.28,0,0,0.0,196,52,349653.28
ODI0000151,203,8,40000.0,0,0,0.0,203,8,40000.0
ODI0000162,203,1,3886.9800000000005,0,0,0.0,203,1,3886.9800000000005
ODI0000164,129,4,20000.0,17,2,60000.0,129,6,80000.0
ODI0000166,94,4,4000.0,0,0,0.0,94,4,4000.0
ODI0000173,203,6,129944.3,0,0,0.0,203,6,129944.3
ODI0000177,156,1,10000.0,0,0,0.0,156,1,10000.0
ODI0000183,203,4,100000.0,0,0,0.0,203,4,100000.0
ODI0000184,55,0,75.67000000000007,0,0,0.0,55,0,75.67000000000007
ODI0000186,51,1,5000.0,0,0,0.0,51,1,5000.0
ODI0000198,4,0,-0.4700000000000273,0,0,0.0,4,0,-0.4700000000000273
ODI0000201,146,1,5000.0,0,0,0.0,146,1,5000.0
ODI0000202,203,10,62948.2,56,3,3000.0,203,13,65948.2
ODI0000218,185,7,70000.0,0,0,0.0,185,7,70000.0
ODI0000227,23,1,5000.0,0,0,0.0,23,1,5000.0
ODI0000232,203,1,5000.0,0,0,0.0,203,1,5000.0
ODI0000234,190,1,68.44000000000051,0,0,0.0,190,1,68.44000000000051
ODI0000235,48,1,1000.0,0,0,0.0,48,1,1000.0
ODI0000241,185,8,3043.550000000003,0,0,0.0,185,8,3043.550000000003
ODI0000247,203,8,12000.0,51,1,5000.0,203,9,17000.0
ODI0000251,156,6,300000.0,0,0,0.0,156,6,300000.0
ODI0000253,203,5,25000.0,0,0,0.0,203,5,25000.0
ODI0000254,49,5,12000.0,35,1,2000.0,49,6,14000.0
ODI0000256,199,8,12000.0,0,0,0.0,199,8,12000.0
ODI0000257,203,6,19000.0,0,0,0.0,203,6,19000.0
ODI0000259,155,5,43894.89,0,0,0.0,155,5,43894.89
ODI0000267,189,7,17000.0,0,0,0.0,189,7,17000.0
ODI0000269,202,7,7000.0,0,0,0.0,202,7,7000.0
ODI0000270,198,7,60000.0,0,0,0.0,198,7,60000.0
ODI0000271,63,3,3000.0,37,1,1000.0,63,4,4000.0
ODI0000273,203,4,15000.0,0,0,0.0,203,4,15000.0
ODI0000276,197,2,22000.0,0,0,0.0,197,2,22000.0
ODI0000277,199,8,30000.0,0,0,0.0,199,8,30000.0
ODI0000280,0,0,0.0,7,1,200000.0,7,1,200000.0
ODI0000284,126,6,63976.37,0,0,0.0,126,6,63976.37
ODI0000288,188,2,20000.0,0,0,0.0,188,2,20000.0
ODI0000289,198,1,50041.68,0,0,0.0,198,1,50041.68
ODI0000291,1,1,1000.0,0,0,0.0,1,1,1000.0
ODI0000293,203,9,185000.0,0,0,0.0,203,9,185000.0
ODI0000299,192,8,18000.0,0,0,0.0,192,8,18000.0
ODI0000300,59,3,3000.0,0,0,0.0,59,3,3000.0
ODI0000303,203,3,15000.0,0,0,0.0,203,3,15000.0
ODI0000321,199,7,60000.0,0,0,0.0,199,7,60000.0
ODI0000324,203,2,6000.0,0,0,0.0,203,2,6000.0
ODI0000325,122,4,5000.0,0,0,0.0,122,4,5000.0
ODI0000329,198,1,31.079999999999927,0,0,0.0,198,1,31.079999999999927
ODI0000337,185,7,15000.0,0,0,0.0,185,7,15000.0
ODI0000339,70,4,8000.0,0,0,0.0,70,4,8000.0
ODI0000348,136,3,18000.0,0,0,0.0,136,3,18000.0
ODI0000351,203,17,40500.0,0,0,0.0,203,17,40500.0
ODI0000356,199,7,35000.0,0,0,0.0,199,7,35000.0
ODI0000368,203,11,129948.16,0,0,0.0,203,11,129948.16
ODI0000376,203,4,20000.0,0,0,0.0,203,4,20000.0
ODI0000381,36,2,55.48999999999978,0,0,0.0,36,2,55.48999999999978
ODI0000388,198,3,551.9300000000003,0,0,0.0,198,3,551.9300000000003
ODI0000392,185,9,9000.0,0,0,0.0,185,9,9000.0
ODI0000403,185,4,104962.08,0,0,0.0,185,4,104962.08
ODI0000415,202,7,55000.0,0,0,0.0,202,7,55000.0
ODI0000427,192,1,5000.0,0,0,0.0,192,1,5000.0
ODI0000436,203,29,54000.0,0,0,0.0,203,29,54000.0
ODI0000437,94,5,270000.0,0,0,0.0,94,5,270000.0
ODI0000438,71,4,11000.0,51,1,1000.0,71,5,12000.0
ODI0000439,203,2,100000.0,0,0,0.0,203,2,100000.0
ODI0000444,185,2,74350.83,0,0,0.0,185,2,74350.83
ODI0000455,202,7,11500.0,0,0,0.0,202,7,11500.0
ODI0000461,198,8,55000.0,0,0,0.0,198,8,55000.0
ODI0000474,99,4,10000.0,0,0,0.0,99,4,10000.0
ODI0000475,157,4,348.85999999999876,0,0,0.0,157,4,348.85999999999876
ODI0000479,199,2,20000.0,0,0,0.0,199,2,20000.0
ODI0000480,185,7,7000.0,0,0,0.0,185,7,7000.0
ODI0000484,202,8,30000.0,0,0,0.0,202,8,30000.0
ODI0000485,203,8,40000.0,0,0,0.0,203,8,40000.0
ODI0000486,202,6,66948.2,0,0,0.0,202,6,66948.2
ODI0000489,185,8,15000.0,0,0,0.0,185,8,15000.0
ODI0000493,203,9,56000.0,10,1,10000.0,203,10,66000.0
ODI0000501,185,4,4000.0,0,0,0.0,185,4,4000.0
ODI0000506,185,7,7000.0,0,0,0.0,185,7,7000.0
ODI0000508,189,2,40000.0,0,0,0.0,189,2,40000.0
ODI0000521,23,0,-52.82999999999993,0,0,0.0,23,0,-52.82999999999993
ODI0000524,203,3,499548.26,0,0,0.0,203,3,499548.26
ODI0000525,202,7,21000.0,0,0,0.0,202,7,21000.0
ODI0000528,199,16,156000.0,0,0,0.0,199,16,156000.0
ODI0000529,38,1,1000.0,0,0,0.0,38,1,1000.0
ODI0000537,199,1,5000.0,0,0,0.0,199,1,5000.0
ODI0000546,149,7,17241.0,0,0,0.0,149,7,17241.0
ODI0000557,202,0,199859.88,0,0,0.0,202,0,199859.88
ODI0000572,202,4,4975.9000000000015,0,0,0.0,202,4,4975.9000000000015
ODI0000573,190,4,10000.0,0,0,0.0,190,4,10000.0
ODI0000591,195,3,10000.0,0,0,0.0,195,3,10000.0
ODI0000598,27,1,5000.0,0,0,0.0,27,1,5000.0
ODI0000611,198,7,65000.0,52,2,30000.0,198,9,95000.0
ODI0000623,185,7,16500.0,0,0,0.0,185,7,16500.0
ODI0000625,161,7,16000.0,0,0,0.0,161,7,16000.0
ODI0000630,198,6,94945.46,0,0,0.0,198,6,94945.46
ODI0000634,100,6,20000.0,0,0,0.0,100,6,20000.0
ODI0000647,149,2,186.4499999999989,0,0,0.0,149,2,186.4499999999989
ODI0000682,197,1,2000.0,0,0,0.0,197,1,2000.0
ODI0000684,174,3,7400.0,14,1,5000.0,174,4,12400.0
ODI0000690,192,0,-480.88000000000466,0,0,0.0,192,0,-480.88000000000466
ODI0000712,140,7,70000.0,0,0,0.0,140,7,70000.0
ODI0000714,115,0,-71.59000000000015,0,0,0.0,115,0,-71.59000000000015
ODI0000716,185,4,537814.88,0,0,0.0,185,4,537814.88
ODI0000726,35,0,-39.35999999999967,0,0,0.0,35,0,-39.35999999999967
ODI0000730,133,6,306.72999999999956,0,0,0.0,133,6,306.72999999999956
ODI0000738,195,0,-25.029999999999745,0,0,0.0,195,0,-25.029999999999745
ODI0000739,183,10,66000.0,31,1,5000.0,183,11,71000.0
ODI0000744,199,5,127739.94,0,0,0.0,199,5,127739.94
ODI0000755,83,1,5000.0,0,0,0.0,83,1,5000.0
ODI0000757,161,6,30000.0,0,0,0.0,161,6,30000.0
