acc_no,LFMScore,L_quartile,F_quartile,M_quartile,tnse-x,tnse-y,LFMStr,tel,age,gender,post_code,prov_code,risk_level,country,district,province,accNo,last_risk_level
ODI0000034,444,4 : มากกว่า 135 วัน,4 : มากกว่า 5 ครั้ง,"4 : มากกว่า 15,261.8 บาท",282.16153,-23.804598,4-4-4,Normal Number,35-44,Male,10160.0,10,5.0,TH,Phasi Charoen,Bangkok,ODI0000034,5.0
ODI0000059,441,4 : มากกว่า 135 วัน,4 : มากกว่า 5 ครั้ง,"1 : ไม่เกิน 1,000 บาท",139.03491,-285.4425700000001,4-4-1,Normal Number,20-24,Male,11000.0,11,5.0,TH,Muang Nonthaburi,Nonthaburi,ODI0000059,4.0
ODI0000067,444,4 : มากกว่า 135 วัน,4 : มากกว่า 5 ครั้ง,"4 : มากกว่า 15,261.8 บาท",259.0537,-27.004026,4-4-4,Good Number,35-44,Female,10120.0,10,4.0,TH,Yannawa,Bangkok,ODI0000067,4.0
ODI0000068,434,4 : มากกว่า 135 วัน,3 : 3-5 ครั้ง,"4 : มากกว่า 15,261.8 บาท",141.50668000000005,-0.8247040000000001,4-3-4,Good Number,25-34,Male,10300.0,10,5.0,TH,Dusit,Bangkok,ODI0000068,5.0
ODI0000072,443,4 : มากกว่า 135 วัน,4 : มากกว่า 5 ครั้ง,"3 : 7,001-15,261.8 บาท",239.11305,-191.50095,4-4-3,Good Number,35-44,Male,10250.0,10,4.0,TH,Suang Luang,Bangkok,ODI0000072,5.0
ODI0000080,411,4 : มากกว่า 135 วัน,1 : 1 ครั้ง,"1 : ไม่เกิน 1,000 บาท",-44.94348,-340.7394700000001,4-1-1,Normal Number,25-34,Female,10230.0,10,4.0,TH,Lat Phrao,Bangkok,ODI0000080,4.0
ODI0000082,424,4 : มากกว่า 135 วัน,2 : 2 ครั้ง,"4 : มากกว่า 15,261.8 บาท",105.75534,-55.082027,4-2-4,Normal Number,25-34,Female,74130.0,74,5.0,,,,ODI0000082,5.0
ODI0000083,411,4 : มากกว่า 135 วัน,1 : 1 ครั้ง,"1 : ไม่เกิน 1,000 บาท",-44.94348,-340.7394700000001,4-1-1,Normal Number,35-44,Male,55120.0,55,3.0,TH,Pua,Nan,ODI0000083,4.0
ODI0000084,111,1 : ไม่เกิน 37 วัน,1 : 1 ครั้ง,"1 : ไม่เกิน 1,000 บาท",-229.23187,34.217587,1-1-1,Good Number,45+,Female,10900.0,10,3.0,,,,ODI0000084,3.0
ODI0000086,422,4 : มากกว่า 135 วัน,2 : 2 ครั้ง,"2 : 1,001-7,000 บาท",-17.01325,-247.52617,4-2-2,Normal Number,35-44,Female,60000.0,60,3.0,TH,Muang Nakhon Sawan,Nakhon Sawan,ODI0000086,3.0
