acc_no,RB_L,RB_F,RB_M,LT_L,LT_F,LT_M,ALL_L,ALL_F,ALL_M
ODI0000034,0.7168141592920354,0.1346153846153846,0.011111111111111112,0.12903225806451613,0.18181818181818182,0.25,0.7168141592920354,0.17307692307692307,0.03333333333333333
ODI0000059,0.9070796460176991,0.19230769230769232,0.0001446933333333339,0.0,0.0,0.0,0.9070796460176991,0.19230769230769232,0.0001446933333333339
ODI0000067,0.8982300884955752,0.25,0.03,0.9032258064516129,1.0,0.5875,0.8982300884955752,0.46153846153846156,0.08222222222222222
ODI0000068,0.8185840707964602,0.09615384615384616,0.09323234222222222,0.3548387096774194,0.18181818181818182,0.875,0.8185840707964602,0.1346153846153846,0.17101012000000002
ODI0000072,0.9646017699115044,0.17307692307692307,0.00288888,0.5645161290322581,0.18181818181818182,0.0675,0.9646017699115044,0.21153846153846154,0.00888888
ODI0000080,0.9734513274336283,0.0,0.0,0.0,0.0,0.0,0.9734513274336283,0.0,0.0
ODI0000082,0.8008849557522124,0.038461538461538464,0.005555555555555556,0.14516129032258066,0.18181818181818182,0.0525,0.8008849557522124,0.07692307692307693,0.010222222222222223
ODI0000083,0.8097345132743363,0.019230769230769232,-2.2684444444444428e-05,0.0,0.0,0.0,0.8097345132743363,0.019230769230769232,-2.2684444444444428e-05
ODI0000084,0.017699115044247787,0.0,-1.7555555555554748e-07,0.0,0.0,0.0,0.017699115044247787,0.0,-1.7555555555554748e-07
ODI0000086,0.9646017699115044,0.038461538461538464,0.00046666666666666666,0.0,0.0,0.0,0.9646017699115044,0.038461538461538464,0.00046666666666666666
ODI0000089,0.7920353982300885,-0.019230769230769232,1.1288888888888728e-06,0.0,0.0,0.0,0.7920353982300885,-0.019230769230769232,1.1288888888888728e-06
ODI0000090,0.09292035398230089,0.0,8.466666666666798e-07,0.0,0.0,0.0,0.09292035398230089,0.0,8.466666666666798e-07
ODI0000091,0.14601769911504425,0.0,-2.2222222222202013e-09,0.0,0.0,0.0,0.14601769911504425,0.0,-2.2222222222202013e-09
ODI0000092,1.0,0.11538461538461539,0.0006737622222222222,1.0,0.09090909090909091,0.0125,1.0,0.1346153846153846,0.0017848733333333333
ODI0000097,0.8716814159292036,0.11538461538461539,0.005333333333333333,0.0,0.0,0.0,0.8716814159292036,0.11538461538461539,0.005333333333333333
ODI0000099,0.336283185840708,0.0,-1.6444444444444646e-07,0.0,0.0,0.0,0.336283185840708,0.0,-1.6444444444444646e-07
ODI0000103,0.30973451327433627,0.019230769230769232,1.5777777777777828e-06,0.0,0.0,0.0,0.30973451327433627,0.019230769230769232,1.5777777777777828e-06
ODI0000104,0.008849557522123894,0.0,-4.444444444440402e-08,0.0,0.0,0.0,0.008849557522123894,0.0,-4.444444444440402e-08
ODI0000128,0.6415929203539823,0.09615384615384616,0.00010271999999999955,0.0,0.0,0.0,0.6415929203539823,0.09615384615384616,0.00010271999999999955
ODI0000129,0.5442477876106194,0.0,-2.2282222222221914e-05,0.0,0.0,0.0,0.5442477876106194,0.0,-2.2282222222221914e-05
ODI0000130,0.8008849557522124,0.038461538461538464,0.00044444444444444447,0.0,0.0,0.0,0.8008849557522124,0.038461538461538464,0.00044444444444444447
ODI0000134,0.5398230088495575,0.038461538461538464,0.0022222222222222222,0.0,0.0,0.0,0.5398230088495575,0.038461538461538464,0.0022222222222222222
ODI0000135,0.8185840707964602,0.11538461538461539,0.007333333333333333,0.0,0.0,0.0,0.8185840707964602,0.11538461538461539,0.007333333333333333
ODI0000140,0.8938053097345132,0.15384615384615385,0.0028888888888888888,0.8870967741935484,0.18181818181818182,0.005,0.8938053097345132,0.19230769230769232,0.0033333333333333335
ODI0000146,0.8938053097345132,0.019230769230769232,-2.0444444444444446e-05,0.0,0.0,0.0,0.8938053097345132,0.019230769230769232,-2.0444444444444446e-05
ODI0000147,0.8672566371681416,1.0,0.07770072888888889,0.0,0.0,0.0,0.8672566371681416,1.0,0.07770072888888889
ODI0000151,0.8982300884955752,0.15384615384615385,0.008888888888888889,0.0,0.0,0.0,0.8982300884955752,0.15384615384615385,0.008888888888888889
ODI0000162,0.8982300884955752,0.019230769230769232,0.0008637733333333335,0.0,0.0,0.0,0.8982300884955752,0.019230769230769232,0.0008637733333333335
ODI0000164,0.5707964601769911,0.07692307692307693,0.0044444444444444444,0.27419354838709675,0.18181818181818182,0.15,0.5707964601769911,0.11538461538461539,0.017777777777777778
ODI0000166,0.415929203539823,0.07692307692307693,0.0008888888888888889,0.0,0.0,0.0,0.415929203539823,0.07692307692307693,0.0008888888888888889
ODI0000173,0.8982300884955752,0.11538461538461539,0.02887651111111111,0.0,0.0,0.0,0.8982300884955752,0.11538461538461539,0.02887651111111111
ODI0000177,0.6902654867256637,0.019230769230769232,0.0022222222222222222,0.0,0.0,0.0,0.6902654867256637,0.019230769230769232,0.0022222222222222222
ODI0000183,0.8982300884955752,0.07692307692307693,0.022222222222222223,0.0,0.0,0.0,0.8982300884955752,0.07692307692307693,0.022222222222222223
ODI0000184,0.24336283185840707,0.0,1.6815555555555573e-05,0.0,0.0,0.0,0.24336283185840707,0.0,1.6815555555555573e-05
ODI0000186,0.22566371681415928,0.019230769230769232,0.0011111111111111111,0.0,0.0,0.0,0.22566371681415928,0.019230769230769232,0.0011111111111111111
ODI0000198,0.017699115044247787,0.0,-1.0444444444445051e-07,0.0,0.0,0.0,0.017699115044247787,0.0,-1.0444444444445051e-07
ODI0000201,0.6460176991150443,0.019230769230769232,0.0011111111111111111,0.0,0.0,0.0,0.6460176991150443,0.019230769230769232,0.0011111111111111111
ODI0000202,0.8982300884955752,0.19230769230769232,0.013988488888888888,0.9032258064516129,0.2727272727272727,0.0075,0.8982300884955752,0.25,0.014655155555555554
ODI0000218,0.8185840707964602,0.1346153846153846,0.015555555555555555,0.0,0.0,0.0,0.8185840707964602,0.1346153846153846,0.015555555555555555
ODI0000227,0.10176991150442478,0.019230769230769232,0.0011111111111111111,0.0,0.0,0.0,0.10176991150442478,0.019230769230769232,0.0011111111111111111
ODI0000232,0.8982300884955752,0.019230769230769232,0.0011111111111111111,0.0,0.0,0.0,0.8982300884955752,0.019230769230769232,0.0011111111111111111
ODI0000234,0.8407079646017699,0.019230769230769232,1.5208888888889002e-05,0.0,0.0,0.0,0.8407079646017699,0.019230769230769232,1.5208888888889002e-05
ODI0000235,0.21238938053097345,0.019230769230769232,0.00022222222222222223,0.0,0.0,0.0,0.21238938053097345,0.019230769230769232,0.00022222222222222223
ODI0000241,0.8185840707964602,0.15384615384615385,0.0006763444444444451,0.0,0.0,0.0,0.8185840707964602,0.15384615384615385,0.0006763444444444451
ODI0000247,0.8982300884955752,0.15384615384615385,0.0026666666666666666,0.8225806451612904,0.09090909090909091,0.0125,0.8982300884955752,0.17307692307692307,0.003777777777777778
ODI0000251,0.6902654867256637,0.11538461538461539,0.06666666666666667,0.0,0.0,0.0,0.6902654867256637,0.11538461538461539,0.06666666666666667
ODI0000253,0.8982300884955752,0.09615384615384616,0.005555555555555556,0.0,0.0,0.0,0.8982300884955752,0.09615384615384616,0.005555555555555556
ODI0000254,0.2168141592920354,0.09615384615384616,0.0026666666666666666,0.5645161290322581,0.09090909090909091,0.005,0.2168141592920354,0.11538461538461539,0.003111111111111111
ODI0000256,0.8805309734513275,0.15384615384615385,0.0026666666666666666,0.0,0.0,0.0,0.8805309734513275,0.15384615384615385,0.0026666666666666666
ODI0000257,0.8982300884955752,0.11538461538461539,0.004222222222222222,0.0,0.0,0.0,0.8982300884955752,0.11538461538461539,0.004222222222222222
ODI0000259,0.6858407079646017,0.09615384615384616,0.00975442,0.0,0.0,0.0,0.6858407079646017,0.09615384615384616,0.00975442
ODI0000267,0.8362831858407079,0.1346153846153846,0.003777777777777778,0.0,0.0,0.0,0.8362831858407079,0.1346153846153846,0.003777777777777778
