acc_no,LFMScore,L_quartile,F_quartile,M_quartile,tnse-x,tnse-y
ODI0000034,444,4,4,4,282.16153,-23.804598
ODI0000059,441,4,4,1,139.03491,-285.44257
ODI0000067,444,4,4,4,259.0537,-27.004026
ODI0000068,434,4,3,4,141.50668,-0.824704
ODI0000072,443,4,4,3,239.11305,-191.50095
ODI0000080,411,4,1,1,-44.94348,-340.73947
ODI0000082,424,4,2,4,105.75534,-55.082027
ODI0000083,411,4,1,1,-44.94348,-340.73947
ODI0000084,111,1,1,1,-229.23187,34.217587
ODI0000086,422,4,2,2,-17.01325,-247.52617
ODI0000089,411,4,1,1,-44.94348,-340.73947
ODI0000090,111,1,1,1,-229.23187,34.217587
ODI0000091,111,1,1,1,-229.23187,34.217587
ODI0000092,442,4,4,2,171.20734,-283.82797
ODI0000097,444,4,4,4,265.3144,8.532092
ODI0000099,211,2,1,1,-252.56921,-160.75787
ODI0000103,211,2,1,1,-217.21759,-166.33498
ODI0000104,111,1,1,1,-229.23187,34.217587
ODI0000128,431,4,3,1,52.965744,-315.00372
ODI0000129,311,3,1,1,-172.9862,-284.89908
ODI0000130,422,4,2,2,-17.01325,-247.52617
ODI0000134,323,3,2,3,40.33174,-3.3384612
ODI0000135,444,4,4,4,265.3144,8.532092
ODI0000140,443,4,4,3,235.58096,-224.55725
ODI0000146,411,4,1,1,-44.94348,-340.73947
ODI0000147,444,4,4,4,265.3144,8.532092
ODI0000151,444,4,4,4,265.3144,8.532092
ODI0000162,412,4,1,2,-5.423209,-184.72424
ODI0000164,334,3,3,4,166.10327,99.62058
ODI0000166,332,3,3,2,85.47321,-198.9111
ODI0000173,444,4,4,4,265.3144,8.532092
ODI0000177,413,4,1,3,54.660152,-124.89806
ODI0000183,434,4,3,4,141.50668,-0.824704
ODI0000184,211,2,1,1,-217.21759,-166.33498
ODI0000186,212,2,1,2,-284.4847,158.05867
ODI0000198,111,1,1,1,-229.23187,34.217587
ODI0000201,412,4,1,2,-19.945923,-170.04884
ODI0000202,444,4,4,4,265.3144,8.532092
ODI0000218,444,4,4,4,265.3144,8.532092
ODI0000227,112,1,1,2,-101.83811,316.24716
ODI0000232,412,4,1,2,-19.945923,-170.04884
ODI0000234,411,4,1,1,-44.94348,-340.73947
ODI0000235,211,2,1,1,-252.56921,-160.75787
ODI0000241,442,4,4,2,171.20734,-283.82797
ODI0000247,443,4,4,3,239.11305,-191.50095
ODI0000251,444,4,4,4,315.8195,7.690898
ODI0000253,434,4,3,4,159.69237,-17.420765
ODI0000254,233,2,3,3,168.21677,251.87663
ODI0000256,443,4,4,3,235.58096,-224.55725
ODI0000257,444,4,4,4,315.8195,7.690898
ODI0000259,434,4,3,4,159.69237,-17.420765
ODI0000267,444,4,4,4,265.3144,8.532092
ODI0000269,442,4,4,2,171.20734,-283.82797
ODI0000270,444,4,4,4,315.8195,7.690898
ODI0000271,232,2,3,2,-42.63336,12.613205
ODI0000273,433,4,3,3,179.61162,-96.4065
ODI0000276,424,4,2,4,115.080414,-68.12334
ODI0000277,444,4,4,4,265.3144,8.532092
ODI0000280,111,1,1,1,-229.23187,34.217587
ODI0000284,344,3,4,4,272.4168,177.68883
ODI0000288,424,4,2,4,105.75534,-55.082027
ODI0000289,414,4,1,4,59.457508,-83.48245
ODI0000291,111,1,1,1,-229.23187,34.217587
ODI0000293,444,4,4,4,265.3144,8.532092
ODI0000299,444,4,4,4,265.3144,8.532092
ODI0000300,232,2,3,2,-42.63336,12.613205
ODI0000303,433,4,3,3,179.61162,-96.4065
ODI0000321,444,4,4,4,315.8195,7.690898
ODI0000324,422,4,2,2,-29.38521,-236.74701
ODI0000325,332,3,3,2,85.47321,-198.9111
ODI0000329,411,4,1,1,-44.94348,-340.73947
ODI0000337,443,4,4,3,235.58096,-224.55725
ODI0000339,233,2,3,3,168.21677,251.87663
ODI0000348,434,4,3,4,141.50668,-0.824704
ODI0000351,444,4,4,4,265.3144,8.532092
ODI0000356,444,4,4,4,265.3144,8.532092
ODI0000368,444,4,4,4,265.3144,8.532092
ODI0000376,434,4,3,4,141.50668,-0.824704
ODI0000381,121,1,2,1,-121.7291,98.9458
ODI0000388,431,4,3,1,52.965744,-315.00372
ODI0000392,443,4,4,3,239.11305,-191.50095
ODI0000403,434,4,3,4,141.50668,-0.824704
ODI0000415,444,4,4,4,265.3144,8.532092
ODI0000427,412,4,1,2,-0.29719374,-165.36661
ODI0000436,444,4,4,4,265.3144,8.532092
ODI0000437,334,3,3,4,154.04494,132.22963
ODI0000438,233,2,3,3,168.21677,251.87663
ODI0000439,424,4,2,4,105.75534,-55.082027
ODI0000444,424,4,2,4,115.080414,-68.12334
ODI0000455,443,4,4,3,239.11305,-191.50095
ODI0000461,444,4,4,4,265.3144,8.532092
ODI0000474,333,3,3,3,51.067223,102.91251
ODI0000475,431,4,3,1,55.265606,-301.87427
ODI0000479,424,4,2,4,105.75534,-55.082027
ODI0000480,442,4,4,2,171.20734,-283.82797
ODI0000484,444,4,4,4,315.8195,7.690898
ODI0000485,444,4,4,4,265.3144,8.532092
ODI0000486,444,4,4,4,265.3144,8.532092
ODI0000489,443,4,4,3,208.77785,-205.02518
ODI0000493,444,4,4,4,265.3144,8.532092
ODI0000501,432,4,3,2,105.869385,-335.08673
ODI0000506,442,4,4,2,171.20734,-283.82797
ODI0000508,424,4,2,4,115.080414,-68.12334
ODI0000521,111,1,1,1,-229.23187,34.217587
ODI0000524,434,4,3,4,141.50668,-0.824704
ODI0000525,444,4,4,4,265.3144,8.532092
ODI0000528,444,4,4,4,265.3144,8.532092
ODI0000529,211,2,1,1,-217.21759,-166.33498
ODI0000537,412,4,1,2,-5.423209,-184.72424
ODI0000546,444,4,4,4,265.3144,8.532092
ODI0000557,414,4,1,4,74.46575,-85.587166
ODI0000572,432,4,3,2,105.869385,-335.08673
ODI0000573,433,4,3,3,182.97694,-119.44769
ODI0000591,433,4,3,3,182.97694,-119.44769
ODI0000598,112,1,1,2,-101.83811,316.24716
ODI0000611,444,4,4,4,265.3144,8.532092
ODI0000623,444,4,4,4,265.3144,8.532092
ODI0000625,444,4,4,4,265.3144,8.532092
ODI0000630,444,4,4,4,265.3144,8.532092
ODI0000634,344,3,4,4,272.4168,177.68883
ODI0000647,421,4,2,1,3.9918177,-297.87173
ODI0000682,412,4,1,2,-5.423209,-184.72424
ODI0000684,433,4,3,3,179.61162,-96.4065
ODI0000690,411,4,1,1,-44.94348,-340.73947
ODI0000712,444,4,4,4,315.8195,7.690898
ODI0000714,311,3,1,1,-172.9862,-284.89908
ODI0000716,434,4,3,4,141.50668,-0.824704
ODI0000726,111,1,1,1,-229.23187,34.217587
ODI0000730,341,3,4,1,114.0154,-269.1281
ODI0000738,411,4,1,1,-44.94348,-340.73947
ODI0000739,444,4,4,4,265.3144,8.532092
ODI0000744,434,4,3,4,141.50668,-0.824704
ODI0000755,212,2,1,2,-284.4847,158.05867
ODI0000757,444,4,4,4,265.3144,8.532092
ODI0000759,412,4,1,2,-19.945923,-170.04884
ODI0000760,433,4,3,3,179.61162,-96.4065
ODI0000763,221,2,2,1,-144.23131,-165.94301
ODI0000765,443,4,4,3,235.58096,-224.55725
ODI0000768,443,4,4,3,239.11305,-191.50095
ODI0000770,412,4,1,2,-19.945923,-170.04884
ODI0000799,411,4,1,1,-44.94348,-340.73947
ODI0000806,111,1,1,1,-229.23187,34.217587
ODI0000811,443,4,4,3,239.11305,-191.50095
ODI0000818,414,4,1,4,59.457508,-83.48245
ODI0000819,332,3,3,2,92.529686,-227.03438
ODI0000823,412,4,1,2,-19.945923,-170.04884
ODI0000827,423,4,2,3,114.44728,-121.15722
ODI0000830,224,2,2,4,-62.657364,231.57635
ODI0000831,414,4,1,4,74.46575,-85.587166
ODI0000834,311,3,1,1,-172.9862,-284.89908
ODI0000838,421,4,2,1,3.9918177,-297.87173
ODI0000840,443,4,4,3,239.11305,-191.50095
ODI0000846,444,4,4,4,265.3144,8.532092
ODI0000849,444,4,4,4,265.3144,8.532092
ODI0000857,413,4,1,3,54.660152,-124.89806
ODI0000862,344,3,4,4,289.2381,156.82634
ODI0000864,322,3,2,2,-94.918594,-226.47281
ODI0000881,234,2,3,4,47.993073,270.82135
ODI0000901,334,3,3,4,154.04494,132.22963
ODI0000907,442,4,4,2,171.20734,-283.82797
ODI0000910,433,4,3,3,179.61162,-96.4065
ODI0000928,434,4,3,4,141.50668,-0.824704
ODI0000929,442,4,4,2,171.20734,-283.82797
ODI0000930,442,4,4,2,171.20734,-283.82797
ODI0000933,211,2,1,1,-252.56921,-160.75787
ODI0000944,124,1,2,4,-97.71254,223.49132
ODI0000948,444,4,4,4,265.3144,8.532092
ODI0000960,344,3,4,4,272.4168,177.68883
ODI0000970,434,4,3,4,159.69237,-17.420765
ODI0000976,111,1,1,1,-229.23187,34.217587
ODI0000977,414,4,1,4,74.46575,-85.587166
ODI0000981,442,4,4,2,171.20734,-283.82797
ODI0000986,211,2,1,1,-252.56921,-160.75787
ODI0000990,414,4,1,4,74.46575,-85.587166
ODI0000994,444,4,4,4,265.3144,8.532092
ODI0000996,423,4,2,3,114.44728,-121.15722
ODI0001001,444,4,4,4,265.3144,8.532092
ODI0001008,231,2,3,1,-57.65991,-39.916584
ODI0001020,333,3,3,3,50.816807,67.34199
ODI0001022,122,1,2,2,-78.33722,110.639915
ODI0001032,444,4,4,4,265.3144,8.532092
ODI0001034,211,2,1,1,-252.56921,-160.75787
ODI0001040,443,4,4,3,208.77785,-205.02518
ODI0001048,112,1,1,2,-73.857346,328.01773
ODI0001049,433,4,3,3,179.61162,-96.4065
ODI0001057,444,4,4,4,265.3144,8.532092
ODI0001058,414,4,1,4,74.46575,-85.587166
ODI0001064,431,4,3,1,52.965744,-315.00372
ODI0001078,111,1,1,1,-229.23187,34.217587
ODI0001085,221,2,2,1,-144.23131,-165.94301
ODI0001087,444,4,4,4,265.3144,8.532092
ODI0001097,444,4,4,4,315.8195,7.690898
ODI0001107,412,4,1,2,-19.945923,-170.04884
ODI0001109,222,2,2,2,-75.025314,-120.78509
ODI0001110,432,4,3,2,93.833954,-350.33798
ODI0001116,444,4,4,4,265.3144,8.532092
ODI0001117,111,1,1,1,-229.23187,34.217587
ODI0001120,444,4,4,4,265.3144,8.532092
ODI0001122,443,4,4,3,208.77785,-205.02518
ODI0001123,233,2,3,3,168.21677,251.87663
ODI0001128,434,4,3,4,159.69237,-17.420765
ODI0001134,212,2,1,2,-284.4847,158.05867
ODI0001143,444,4,4,4,315.8195,7.690898
ODI0001150,413,4,1,3,54.660152,-124.89806
ODI0001152,111,1,1,1,-229.23187,34.217587
ODI0001154,223,2,2,3,-169.71495,149.08568
ODI0001158,433,4,3,3,198.29791,-83.23863
ODI0001163,412,4,1,2,-19.945923,-170.04884
ODI0001168,331,3,3,1,76.797585,-270.1501
ODI0001176,412,4,1,2,-19.945923,-170.04884
